"id_tweet","id_user","tweet"
"10261","141","Santri di Pulau Karimata lagi nyantai https://t.co/BZa1DSHYmd"
"10262","141","Dukung terus Channel YouTube Tabung Wakaf Umat Official. Subscribe, Like, and Share. Berkah selalu, jama'ah."
"10263","141","Terima kasih kpd para jama'ah yang telah menjadi subscriber, viewer, lovers, sharer, dan semua pihak yg terlibat.… https://t.co/4eTUWBdBcr"
"10264","141","Hasil monetisasi ini insya Allah akan digunakan untuk membeli beras untuk santri, anak yatim, dan masyarakat dhuafa… https://t.co/rPvZtaL81C"
"10265","141","Pada hari Senin, 22 Februari 2021, monetisasi Channel YouTube Tabung Wakaf Umat Official Alhamdulillah masuk ke rek… https://t.co/ZHHoIWcyBQ"
"10266","141","Alhamdulillah Channel YouTube Tabung Wakaf Umat Official sudah dilihat 3.442.389 kali dan subscriber sebanyak 96 K… https://t.co/3cdRnrKU9q"
"10267","141","https://t.co/MmR9eaJTZL"
"10268","141","Seperti biasanya, Uas membuka peci dan meminta KH. M Anwar Mansur dan KH. Agoes Ali Masyhuri membacakan doa dan men… https://t.co/dHnH1F5Thw"
"10269","141","Jadilah Uas ketemu dan bisa silaturrahin dengan para Kyai, diantaranya KH. Marzuqi Mustamar ketua PWNU Jatim dan KH… https://t.co/JvxjFRsM4C"
"10270","141","Tiba-tiba handphone sahabat Uas berbunyi, Gus Ali meminta supaya Uas segera ke kantor PWNU, walau lima menit. Adapu… https://t.co/XdzaP72gnj"
"10271","141","Akhirnya Uas bersilaturrahim dengan putra-putri Kyai, dialog nyambung, ternyata Gus Muhdlor junior Uas di al-Azhar… https://t.co/Jh7Tubfqvm"
"10272","141",".
Uas dibawa salah seorang sahabat sowan ke kediaman KH. Agoes Ali Masyhuri, sesampainya di Pondok Pesantren Bumi S… https://t.co/hN5q8UEhTm"
"10273","141","ust Ikrom Amri (Sulawesi), ust Abul Khoir (Sumatera Selatan), Uas.
Pada acara Munaqasyah S3 Prof Dr Habib Abdul Ham… https://t.co/tx62ckKNnA"
